,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,-6.0,1.95,2.09,145.0,2.2,1.93,Fenerbahce,Olympiakos,"Sunday, 21 May  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-olympiakos-piraeus-hMuEZ6NA/
1,3.5,2.04,1.96,17.0,2.02,1.96,Real Madrid,CSKA Moscow,"Sunday, 21 May  2017, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-cska-moscow-WCvIYQxH/
2,3.5,2.06,1.97,15.0,2.04,1.99,Fenerbahce,Real Madrid,"Friday, 19 May  2017, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-real-madrid-OdniRZ5L/
3,5.5,1.99,2.0,156.0,2.05,2.05,CSKA Moscow,Olympiakos,"Friday, 19 May  2017, 18:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-olympiakos-piraeus-lYxMdys9/
4,8.5,2.07,2.02,14.0,2.0,2.0,Olympiakos,Anadolu Efes,"Tuesday, 02 May  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/olympiakos-piraeus-anadolu-efes-fZFsJaNE/
5,1.5,2.01,2.01,149.0,2.0,2.0,Anadolu Efes,Olympiakos,"Friday, 28 Apr  2017, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-vuTpVsI8/
6,2.5,2.02,2.1,161.0,2.02,1.95,Darussafaka,Real Madrid,"Friday, 28 Apr  2017, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-S41YLwue/
7,2.5,2.0,2.07,161.0,2.03,1.91,Darussafaka,Real Madrid,"Wednesday, 26 Apr  2017, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-z9J4qgH2/
8,2.5,2.0,1.97,153.0,2.02,1.97,Anadolu Efes,Olympiakos,"Wednesday, 26 Apr  2017, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-fBZ5sXoF/
9,2.5,2.02,2.02,166.0,2.01,1.95,Baskonia,CSKA Moscow,"Tuesday, 25 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/saski-baskonia-cska-moscow-Y1Y9ti1L/
10,6.5,2.03,2.03,144.0,2.0,1.98,Fenerbahce,Panathinaikos,"Tuesday, 25 Apr  2017, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-panathinaikos-EaI8rDW8/
11,8.5,2.02,2.02,16.0,2.0,1.97,Real Madrid,Darussafaka,"Friday, 21 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-darussafaka-0zBCm5DC/
12,7.5,1.9,2.06,15.0,2.09,2.0,Olympiakos,Anadolu Efes,"Friday, 21 Apr  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/olympiakos-piraeus-anadolu-efes-St3bB85J/
13,5.5,1.97,2.18,141.0,2.16,1.97,Panathinaikos,Fenerbahce,"Thursday, 20 Apr  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/panathinaikos-fenerbahce-vR9GnPSI/
14,1.5,2.0,1.99,169.0,2.0,2.0,CSKA Moscow,Baskonia,"Thursday, 20 Apr  2017, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-saski-baskonia-6X12ASKP/
15,9.5,2.2,1.97,16.0,2.02,2.16,Real Madrid,Darussafaka,"Wednesday, 19 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-darussafaka-nD4dimEm/
16,6.5,2.17,1.95,15.0,1.98,2.1,Olympiakos,Anadolu Efes,"Wednesday, 19 Apr  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/olympiakos-piraeus-anadolu-efes-KQ24kRr0/
17,4.5,2.02,1.92,143.0,2.19,1.95,Panathinaikos,Fenerbahce,"Tuesday, 18 Apr  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/panathinaikos-fenerbahce-Q330j7Tg/
18,1.5,2.11,1.97,168.0,2.08,1.93,CSKA Moscow,Baskonia,"Tuesday, 18 Apr  2017, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-saski-baskonia-IBL7lob6/
19,5.5,1.99,1.97,16.0,2.16,1.98,Real Madrid,Anadolu Efes,"Friday, 07 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-anadolu-efes-QNgSnkTo/
20,3.5,1.95,1.99,166.0,2.02,1.94,Olimpia Milano,Unics Kazan,"Friday, 07 Apr  2017, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/milan-unics-kazan-CK5pO5jo/
21,9.5,2.03,1.94,162.0,2.0,1.97,CSKA Moscow,Olympiakos,"Friday, 07 Apr  2017, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-olympiakos-piraeus-hzPDTRSN/
22,5.5,2.02,2.01,144.0,1.97,1.99,Darussafaka,Crvena zvezda mts,"Friday, 07 Apr  2017, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-crvena-zvezda-mts-zaEISorU/
23,8.5,1.92,2.07,159.0,1.97,2.0,Baskonia,Zalgiris Kaunas,"Thursday, 06 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/saski-baskonia-zalgiris-kaunas-pAL5VmbB/
24,6.5,1.98,1.99,153.0,1.93,2.11,Maccabi Tel Aviv,Panathinaikos,"Thursday, 06 Apr  2017, 21:05",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/maccabi-tel-aviv-panathinaikos-EqQ9U7DH/
25,8.5,1.96,1.99,164.0,2.02,1.93,Bamberg,Galatasaray,"Thursday, 06 Apr  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/brose-bamberg-galatasaray-OfXdX9Tb/
26,9.5,1.95,1.95,145.0,1.98,1.99,Fenerbahce,Barcelona,"Thursday, 06 Apr  2017, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-barcelona-6JM1WTr5/
27,6.5,1.91,2.13,160.0,2.0,1.95,Real Madrid,Fenerbahce,"Friday, 31 Mar  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-fenerbahce-WnFkZVbn/
28,1.5,2.02,2.1,157.0,1.99,2.05,Panathinaikos,CSKA Moscow,"Friday, 31 Mar  2017, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/panathinaikos-cska-moscow-hdGozCqt/
