,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap +3.5 ,2.08,1.94,Over/Under +193.5 ,2.02,1.99,Cleveland Cavaliers,Golden State Warriors,"Wednesday, 17 Jun  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-golden-state-warriors-OnFTycKc/
1,Asian handicap -9.5 ,2.08,1.98,Over/Under +194.5 ,2.03,2.03,Golden State Warriors,Cleveland Cavaliers,"Monday, 15 Jun  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-cleveland-cavaliers-A9nRJomL/
2,Asian handicap +4 ,1.96,2.05,Over/Under +194.5 ,1.98,1.97,Cleveland Cavaliers,Golden State Warriors,"Friday, 12 Jun  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-golden-state-warriors-2qD9vjqr/
3,Asian handicap +2 ,1.99,2.02,Over/Under +194.5 ,1.99,1.97,Cleveland Cavaliers,Golden State Warriors,"Wednesday, 10 Jun  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-golden-state-warriors-p4QsqWzR/
4,Asian handicap -7.5 ,2.01,1.98,Over/Under +199.5 ,1.97,2.03,Golden State Warriors,Cleveland Cavaliers,"Monday, 08 Jun  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-cleveland-cavaliers-YTMwpCLK/
5,Asian handicap -5.5 ,2.09,1.96,Over/Under +203.5 ,2.04,1.94,Golden State Warriors,Cleveland Cavaliers,"Friday, 05 Jun  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-cleveland-cavaliers-j5XYph6E/
6,Asian handicap -9.5 ,2.0,2.0,Over/Under +217.5 ,1.98,1.96,Golden State Warriors,Houston Rockets,"Thursday, 28 May  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-houston-rockets-l4iIpVW5/
7,Asian handicap -7.5 ,1.92,2.08,Over/Under +195.5 ,2.0,1.96,Cleveland Cavaliers,Atlanta Hawks,"Wednesday, 27 May  2015, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-atlanta-hawks-reYd2UaN/
8,Asian handicap +4.5 ,2.06,1.96,Over/Under +214 ,1.98,2.0,Houston Rockets,Golden State Warriors,"Tuesday, 26 May  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-golden-state-warriors-bBt46Jkc/
9,Asian handicap -8 ,1.99,2.0,Over/Under +190 ,2.07,1.91,Cleveland Cavaliers,Atlanta Hawks,"Monday, 25 May  2015, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-atlanta-hawks-UiUh3ApH/
10,Asian handicap -1.5 ,1.97,1.99,Over/Under +216.5 ,2.01,1.95,Houston Rockets,Golden State Warriors,"Sunday, 24 May  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-golden-state-warriors-p8hMszDd/
11,Asian handicap -3 ,2.12,1.93,Over/Under +193.5 ,2.03,2.01,Atlanta Hawks,Cleveland Cavaliers,"Saturday, 23 May  2015, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-cleveland-cavaliers-zVUl4jVA/
12,Asian handicap -9.5 ,2.05,1.96,Over/Under +219.5 ,1.94,2.0,Golden State Warriors,Houston Rockets,"Friday, 22 May  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-houston-rockets-6HgIrGcj/
13,Asian handicap -2 ,2.09,1.94,Over/Under +199.5 ,2.04,1.97,Atlanta Hawks,Cleveland Cavaliers,"Thursday, 21 May  2015, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-cleveland-cavaliers-dvWp5WF4/
14,Asian handicap -10.5 ,2.0,1.95,Over/Under +219.5 ,2.01,1.95,Golden State Warriors,Houston Rockets,"Wednesday, 20 May  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-houston-rockets-ltaDqdrp/
15,Asian handicap +2.5 ,2.01,1.93,Over/Under +219.5 ,1.95,1.99,Houston Rockets,Los Angeles Clippers,"Sunday, 17 May  2015, 22:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-los-angeles-clippers-6Jrjihl8/
16,Asian handicap +5 ,1.97,2.06,Over/Under +193.5 ,1.95,2.04,Memphis Grizzlies,Golden State Warriors,"Saturday, 16 May  2015, 04:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/memphis-grizzlies-golden-state-warriors-vwrsT40B/
17,Asian handicap -2.5 ,1.99,1.98,Over/Under +197 ,1.99,2.02,Washington Wizards,Atlanta Hawks,"Saturday, 16 May  2015, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/washington-wizards-atlanta-hawks-dfnMXSot/
18,Asian handicap -8.5 ,1.98,1.99,Over/Under +219.5 ,2.05,1.93,Los Angeles Clippers,Houston Rockets,"Friday, 15 May  2015, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-houston-rockets-2ueaCvWF/
19,Asian handicap -2 ,2.12,1.94,Over/Under +192.5 ,1.97,1.97,Chicago Bulls,Cleveland Cavaliers,"Friday, 15 May  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-cleveland-cavaliers-KQAEbk9O/
20,Asian handicap -10 ,2.07,1.96,Over/Under +197.5 ,1.98,1.96,Golden State Warriors,Memphis Grizzlies,"Thursday, 14 May  2015, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-memphis-grizzlies-l6KyA0N7/
21,Asian handicap -7 ,2.07,2.0,Over/Under +200 ,2.07,1.94,Atlanta Hawks,Washington Wizards,"Thursday, 14 May  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-washington-wizards-ru2jb3Oe/
22,Asian handicap +3 ,2.0,1.96,Over/Under +218.5 ,2.06,1.93,Houston Rockets,Los Angeles Clippers,"Wednesday, 13 May  2015, 04:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-los-angeles-clippers-fw8oK3cS/
