,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap +3.5 ,2.08,1.9,Over/Under +158.5 ,1.93,1.98,Fenerbahce,CSKA Moscow,"Sunday, 15 May  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-cska-moscow-r1BrDC3e/
1,Asian handicap -3.5 ,2.06,1.95,Over/Under +166.5 ,2.11,1.91,Baskonia,Lokomotiv Kuban,"Sunday, 15 May  2016, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-lokomotiv-kuban-QP0mCWI1/
2,Asian handicap -6.5 ,2.02,1.97,Over/Under +155.5 ,2.0,2.0,Fenerbahce,Baskonia,"Friday, 13 May  2016, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-saski-baskonia-drUay9zk/
3,Asian handicap -7 ,2.06,1.97,Over/Under +159.5 ,2.0,2.02,CSKA Moscow,Lokomotiv Kuban,"Friday, 13 May  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-lokomotiv-kuban-KAOL0cLH/
4,Asian handicap -2.5 ,1.9,2.18,Over/Under +146.5 ,2.03,1.95,Lokomotiv Kuban,Barcelona,"Tuesday, 26 Apr  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-barcelona-Uit5KlU0/
5,Asian handicap -7.5 ,2.02,1.96,Over/Under +146.5 ,2.07,1.91,Barcelona,Lokomotiv Kuban,"Thursday, 21 Apr  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-lokomotiv-kuban-bVGchobb/
6,Asian handicap -7.5 ,1.94,2.0,Over/Under +145.5 ,2.0,1.96,Barcelona,Lokomotiv Kuban,"Tuesday, 19 Apr  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-lokomotiv-kuban-Ozg298gH/
7,Asian handicap -5.5 ,1.91,2.13,Over/Under +160.5 ,2.02,2.01,Real Madrid,Fenerbahce,"Tuesday, 19 Apr  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/real-madrid-fenerbahce-Yo0kCA9b/
8,Asian handicap -7.5 ,2.02,1.92,Over/Under +152.5 ,2.01,1.98,Panathinaikos,Baskonia,"Tuesday, 19 Apr  2016, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-saski-baskonia-jNffBUO4/
9,Asian handicap +5.5 ,2.02,2.01,Over/Under +161 ,1.99,1.98,Crvena zvezda mts,CSKA Moscow,"Monday, 18 Apr  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-cska-moscow-UDgbAlvB/
