,Date,Home_n,Away_n,URL,Home_score,Away_score,OT,Q1_home,Q1_away,Q2_home,Q2_away,Q3_Home,Q3_away,Q4_home,Q4_away,H2H_home_bet365_close,H2H_home_bet365_open,H2H_away_bet365_close,H2H_away_bet365_open,H2H_home_Dafa_close,H2H_home_Dafa_open,H2H_away_Dafa_close,H2H_away_Dafa_open,H2H_home_Pinnacle_close,H2H_home_Pinnacle_open,H2H_away_Pinnacle_close,H2H_away_Pinnacle_open,AH_line,Pinn_home_AH_close,Pinn_away_AH_close,Avg_home_AH_price,Avg_away_AH_price,Max_home_AH_price,Max_away_AH_price,OU_line,Pinn_over_price_close,Pinn_under_price_close,Avg_over_price,Avg_under_price,Max_over_price,Max_under_price
0,2016-12-16 19:30:00,CSKA Moscow,Barcelona,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-barcelona-QeHjpyjj/,92,76,False,24,11,20,31,27,23,21,11,1.15,1.15,5.75,1.15,,,,,1.2,1.16,5.16,6.3,-10.5,2.12,1.81,1.93,1.89,2.12,2.0,162.5,2.0,1.91,1.91,1.91,2.0,2.0
1,2017-05-21 21:00:00,Fenerbahce,Olympiakos,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-olympiakos-piraeus-hMuEZ6NA/,80,64,False,26,18,13,16,21,14,20,16,1.38,1.41,3.15,3.0,,,,,1.38,1.35,3.36,3.53,-6.0,2.08,1.84,1.97,1.87,2.09,1.95,145.5,1.86,2.05,1.84,1.98,1.93,2.2
2,2017-05-21 18:00:00,Real Madrid,CSKA Moscow,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-cska-moscow-WCvIYQxH/,70,94,False,10,23,22,22,24,24,14,25,2.45,2.45,1.6,1.6,,,,,2.42,2.34,1.64,1.68,3.5,1.96,1.94,1.89,1.93,1.96,2.04,177.0,1.95,1.95,1.9,1.93,1.96,2.02
3,2017-05-19 21:30:00,Fenerbahce,Real Madrid,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-real-madrid-OdniRZ5L/,84,75,False,21,13,23,21,19,16,21,25,1.54,1.68,2.65,2.25,,,,,1.54,1.74,2.66,2.22,-3.5,1.87,2.05,1.85,1.96,1.97,2.06,157.0,1.99,1.92,1.91,1.91,1.99,2.04
4,2017-05-19 18:30:00,CSKA Moscow,Olympiakos,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-olympiakos-piraeus-lYxMdys9/,78,82,False,18,12,22,21,24,27,14,22,1.41,1.4,3.0,3.15,,,,,1.4,1.38,3.22,3.31,-5.5,1.94,1.96,1.91,1.91,2.0,1.99,156.5,2.05,1.86,1.92,1.91,2.05,2.05
5,2017-05-02 21:00:00,Olympiakos,Anadolu Efes,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/olympiakos-piraeus-anadolu-efes-fZFsJaNE/,87,78,False,25,21,12,20,26,17,24,20,1.26,1.32,4.0,3.5,,,,,1.25,1.34,4.49,3.62,-8.5,1.98,1.93,1.95,1.89,2.02,2.07,148.0,1.95,1.95,1.91,1.92,2.0,2.0
6,2017-04-28 21:15:00,Anadolu Efes,Olympiakos,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-vuTpVsI8/,62,74,False,21,14,17,21,16,20,8,19,1.9,1.83,1.9,2.0,,,,,2.15,1.87,1.79,2.04,1.5,1.99,1.92,1.92,1.9,2.01,2.01,149.5,1.98,1.93,1.9,1.9,2.0,2.0
7,2017-04-28 19:30:00,Darussafaka,Real Madrid,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-S41YLwue/,78,89,False,21,24,17,21,20,27,20,17,2.45,2.5,1.6,1.57,,,,,2.26,2.59,1.72,1.56,2.5,1.96,1.94,1.94,1.89,2.1,2.02,161.5,1.95,1.95,1.88,1.93,1.95,2.02
8,2017-04-26 21:15:00,Darussafaka,Real Madrid,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-z9J4qgH2/,81,88,False,17,26,16,20,25,24,23,18,2.3,2.65,1.66,1.54,,,,,2.25,2.52,1.72,1.59,2.5,1.95,1.95,1.92,1.9,2.07,2.0,161.5,1.88,2.03,1.87,1.94,1.91,2.03
9,2017-04-26 19:30:00,Anadolu Efes,Olympiakos,https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-fBZ5sXoF/,64,60,False,14,17,19,10,18,10,13,23,1.66,1.68,2.3,2.25,,,,,1.69,1.79,2.3,2.14,-2.5,1.91,2.0,1.89,1.93,1.97,2.0,153.5,1.95,1.95,1.89,1.93,1.97,2.02
