,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap -5.5 ,2.02,2.0,Over/Under +196.5 ,2.1,1.91,San Antonio Spurs,Miami Heat,"Monday, 16 Jun  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-miami-heat-67Upolsm/
1,Asian handicap -5 ,2.12,2.0,Over/Under +196 ,1.97,2.03,Miami Heat,San Antonio Spurs,"Friday, 13 Jun  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-san-antonio-spurs-pS6gVAwC/
2,Asian handicap -4.5 ,1.99,2.06,Over/Under +197 ,1.98,1.97,Miami Heat,San Antonio Spurs,"Wednesday, 11 Jun  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-san-antonio-spurs-nsljWjO5/
3,Asian handicap -4.5 ,1.97,2.04,Over/Under +198.5 ,2.02,1.98,San Antonio Spurs,Miami Heat,"Monday, 09 Jun  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-miami-heat-hKlnXW8a/
4,Asian handicap -5.5 ,2.02,1.98,Over/Under +198.5 ,2.04,1.98,San Antonio Spurs,Miami Heat,"Friday, 06 Jun  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-miami-heat-ETkrYCgg/
5,Asian handicap -3.5 ,1.95,2.03,Over/Under +206.5 ,2.02,1.97,Oklahoma City Thunder,San Antonio Spurs,"Sunday, 01 Jun  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-san-antonio-spurs-YZP8rmvp/
6,Asian handicap -8 ,2.12,1.98,Over/Under +182.5 ,1.95,2.03,Miami Heat,Indiana Pacers,"Saturday, 31 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-indiana-pacers-EwgzqPwA/
7,Asian handicap -5 ,2.06,1.95,Over/Under +206.5 ,2.02,1.95,San Antonio Spurs,Oklahoma City Thunder,"Friday, 30 May  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-oklahoma-city-thunder-AZa338xF/
8,Asian handicap +1 ,2.14,1.91,Over/Under +183.5 ,2.02,1.99,Indiana Pacers,Miami Heat,"Thursday, 29 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-miami-heat-ImXlqVSG/
9,Asian handicap -2.5 ,1.95,2.1,Over/Under +207.5 ,2.04,1.94,Oklahoma City Thunder,San Antonio Spurs,"Wednesday, 28 May  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-san-antonio-spurs-QcbokZ16/
10,Asian handicap -6.5 ,1.92,2.06,Over/Under +182.5 ,1.97,1.98,Miami Heat,Indiana Pacers,"Tuesday, 27 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-indiana-pacers-nXUxgH2s/
11,Asian handicap -2.5 ,2.06,1.98,Over/Under +208.5 ,1.98,2.0,Oklahoma City Thunder,San Antonio Spurs,"Monday, 26 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-san-antonio-spurs-n7asjFn0/
12,Asian handicap -6 ,2.0,2.0,Over/Under +182.5 ,1.98,2.08,Miami Heat,Indiana Pacers,"Sunday, 25 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-indiana-pacers-ze29AqYE/
13,Asian handicap -5.5 ,1.92,2.12,Over/Under +210 ,1.94,2.02,San Antonio Spurs,Oklahoma City Thunder,"Thursday, 22 May  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-oklahoma-city-thunder-KpTpieXg/
14,Asian handicap +2 ,1.93,2.1,Over/Under +184.5 ,1.98,2.0,Indiana Pacers,Miami Heat,"Wednesday, 21 May  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-miami-heat-hWC4BPI8/
15,Asian handicap -6 ,2.12,1.95,Over/Under +209 ,1.94,2.0,San Antonio Spurs,Oklahoma City Thunder,"Tuesday, 20 May  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-oklahoma-city-thunder-tfUthyIm/
16,Asian handicap +2 ,2.14,1.97,Over/Under +182.5 ,1.93,1.99,Indiana Pacers,Miami Heat,"Sunday, 18 May  2014, 22:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-miami-heat-EuE0C532/
17,Asian handicap -4.5 ,1.95,2.0,Over/Under +212.5 ,2.0,1.94,Los Angeles Clippers,Oklahoma City Thunder,"Friday, 16 May  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-oklahoma-city-thunder-dxaQra7B/
18,Asian handicap -4.5 ,1.91,2.07,Over/Under +180.5 ,2.0,1.96,Washington Wizards,Indiana Pacers,"Friday, 16 May  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/washington-wizards-indiana-pacers-8KhcfFA9/
19,Asian handicap -8.5 ,1.99,2.04,Over/Under +208.5 ,2.06,1.91,San Antonio Spurs,Portland Trail Blazers,"Thursday, 15 May  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-portland-trail-blazers-GMkDkmVH/
20,Asian handicap -7 ,2.0,2.0,Over/Under +189 ,1.97,2.0,Miami Heat,Brooklyn Nets,"Thursday, 15 May  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-brooklyn-nets-biM9z7vB/
21,Asian handicap -5.5 ,2.0,1.98,Over/Under +213.5 ,2.02,1.95,Oklahoma City Thunder,Los Angeles Clippers,"Wednesday, 14 May  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-los-angeles-clippers-lY8dydFF/
22,Asian handicap -5.5 ,2.0,2.0,Over/Under +181.5 ,1.96,1.96,Indiana Pacers,Washington Wizards,"Wednesday, 14 May  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-washington-wizards-n7c4ASAa/
23,Asian handicap +4.5 ,2.06,1.98,Over/Under +211 ,1.98,1.99,Portland Trail Blazers,San Antonio Spurs,"Tuesday, 13 May  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/portland-trail-blazers-san-antonio-spurs-vwxe8XFG/
24,Asian handicap +2 ,2.02,2.06,Over/Under +187 ,1.91,2.02,Brooklyn Nets,Miami Heat,"Tuesday, 13 May  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/brooklyn-nets-miami-heat-CAIoCFGi/
25,Asian handicap -3.5 ,2.05,2.02,Over/Under +179.5 ,2.05,1.95,Washington Wizards,Indiana Pacers,"Monday, 12 May  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/washington-wizards-indiana-pacers-h8EdRIOu/
26,Asian handicap -5 ,1.97,2.05,Over/Under +213.5 ,2.08,1.93,Los Angeles Clippers,Oklahoma City Thunder,"Sunday, 11 May  2014, 22:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-oklahoma-city-thunder-tA0WGP6k/
27,Asian handicap -1 ,1.91,2.1,Over/Under +208 ,2.05,1.95,Portland Trail Blazers,San Antonio Spurs,"Sunday, 11 May  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/portland-trail-blazers-san-antonio-spurs-QZXj9D0A/
28,Asian handicap +1.5 ,2.06,1.96,Over/Under +188 ,1.95,1.95,Brooklyn Nets,Miami Heat,"Sunday, 11 May  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/brooklyn-nets-miami-heat-YJJsDe1o/
29,Asian handicap -4.5 ,1.98,2.0,Over/Under +213.5 ,2.08,1.95,Los Angeles Clippers,Oklahoma City Thunder,"Saturday, 10 May  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-oklahoma-city-thunder-S6dSH5iq/
30,Asian handicap -5 ,1.98,1.97,Over/Under +183.5 ,2.04,1.97,Washington Wizards,Indiana Pacers,"Saturday, 10 May  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/washington-wizards-indiana-pacers-Spmj6ZhU/
31,Asian handicap -6.5 ,1.98,2.02,Over/Under +208 ,1.97,1.98,San Antonio Spurs,Portland Trail Blazers,"Friday, 09 May  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-portland-trail-blazers-WCYnAgo4/
32,Asian handicap -7 ,1.96,2.05,Over/Under +191.5 ,1.95,2.04,Miami Heat,Brooklyn Nets,"Friday, 09 May  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-brooklyn-nets-KGValCOp/
33,Asian handicap -5 ,2.0,1.99,Over/Under +214.5 ,2.03,1.95,Oklahoma City Thunder,Los Angeles Clippers,"Thursday, 08 May  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-los-angeles-clippers-n9rbZXMG/
