,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap +4 ,2.03,2.02,Over/Under +216.5 ,1.99,2.03,Cleveland Cavaliers,Golden State Warriors,"Saturday, 09 Jun  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-QoC4sAGp/
1,Asian handicap +3.5 ,2.05,2.05,Over/Under +215.5 ,2.0,2.0,Cleveland Cavaliers,Golden State Warriors,"Thursday, 07 Jun  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-AygzaxnI/
2,Asian handicap -11.5 ,1.98,2.02,Over/Under +215.5 ,2.07,2.0,Golden State Warriors,Cleveland Cavaliers,"Monday, 04 Jun  2018, 03:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-WpfWaIWB/
3,Asian handicap -12.5 ,2.02,2.02,Over/Under +217.5 ,2.0,1.96,Golden State Warriors,Cleveland Cavaliers,"Friday, 01 Jun  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-xOfS0bH5/
4,Asian handicap +5.5 ,1.92,2.07,Over/Under +208.5 ,1.95,2.01,Houston Rockets,Golden State Warriors,"Tuesday, 29 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-WnHbBvHk/
5,Asian handicap -2.5 ,2.03,1.96,Over/Under +197.5 ,1.95,2.0,Boston Celtics,Cleveland Cavaliers,"Monday, 28 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-zwgmmRv8/
6,Asian handicap -12.5 ,1.97,2.0,Over/Under +213.5 ,2.11,1.98,Golden State Warriors,Houston Rockets,"Sunday, 27 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-fPfCQ1oq/
7,Asian handicap -7 ,1.94,2.08,Over/Under +201.5 ,2.0,2.03,Cleveland Cavaliers,Boston Celtics,"Saturday, 26 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-bRtjuNvg/
8,Asian handicap +1 ,2.09,1.97,Over/Under +219.5 ,1.99,2.0,Houston Rockets,Golden State Warriors,"Friday, 25 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-KO5x8SrK/
9,Asian handicap -1.5 ,2.02,2.07,Over/Under +205 ,2.08,2.0,Boston Celtics,Cleveland Cavaliers,"Thursday, 24 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-j9gaPs46/
10,Asian handicap -8 ,2.04,2.12,Over/Under +226.5 ,1.98,1.98,Golden State Warriors,Houston Rockets,"Wednesday, 23 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-x2JYiEgq/
11,Asian handicap -6.5 ,2.05,1.95,Over/Under +206.5 ,1.95,2.24,Cleveland Cavaliers,Boston Celtics,"Tuesday, 22 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-67xMF4Yq/
12,Asian handicap -7.5 ,2.01,1.99,Over/Under +226 ,2.0,2.0,Golden State Warriors,Houston Rockets,"Monday, 21 May  2018, 03:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-KMW6dfoS/
13,Asian handicap -6.5 ,2.01,2.01,Over/Under +207.5 ,1.97,2.01,Cleveland Cavaliers,Boston Celtics,"Sunday, 20 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-4bjfKpQS/
14,Asian handicap -1.5 ,2.07,1.92,Over/Under +224.5 ,2.04,1.95,Houston Rockets,Golden State Warriors,"Thursday, 17 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-tWX2czWL/
15,Asian handicap -1 ,1.95,2.05,Over/Under +204.5 ,2.09,2.06,Boston Celtics,Cleveland Cavaliers,"Wednesday, 16 May  2018, 03:30",https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-nNekLQAM/
16,Asian handicap -2 ,2.02,2.02,Over/Under +225.5 ,1.99,2.0,Houston Rockets,Golden State Warriors,"Tuesday, 15 May  2018, 04:00",https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-p4vfad19/
