,Time,Book_n,Coef,Type
0,2018-11-16 01:39:00,10Bet,1.59,home
1,2018-11-15 20:06:00,10Bet,1.63,home
2,2018-11-15 19:15:00,10Bet,1.67,home
3,2018-11-15 18:06:00,10Bet,1.65,home
4,2018-11-15 16:03:00,10Bet,1.73,home
5,2018-11-15 14:07:00,10Bet,1.74,home
6,2018-11-15 11:35:00,10Bet,1.77,home
7,2018-11-15 09:11:00,10Bet,1.8,home
8,2018-11-15 07:48:00,10Bet,1.83,home
9,2018-11-15 05:22:00,10Bet,1.85,home
10,2018-11-16 02:32:00,10Bet,2.45,away
11,2018-11-16 01:25:00,10Bet,2.5,away
12,2018-11-16 01:23:00,10Bet,2.45,away
13,2018-11-15 23:49:00,10Bet,2.4,away
14,2018-11-15 19:42:00,10Bet,2.35,away
15,2018-11-15 19:16:00,10Bet,2.3,away
16,2018-11-15 18:03:00,10Bet,2.35,away
17,2018-11-15 17:40:00,10Bet,2.3,away
18,2018-11-15 16:41:00,10Bet,2.25,away
19,2018-11-15 14:13:00,10Bet,2.2,away
20,2018-11-15 11:24:00,10Bet,2.15,away
21,2018-11-15 09:11:00,10Bet,2.1,away
22,2018-11-15 09:05:00,10Bet,2.05,away
23,2018-11-15 05:07:00,10Bet,2.0,away
24,2018-11-15 04:03:00,10Bet,1.95,away
25,2018-11-15 22:02:00,188BET,1.61,home
26,2018-11-15 19:57:00,188BET,1.62,home
27,2018-11-15 19:21:00,188BET,1.66,home
28,2018-11-15 18:53:00,188BET,1.61,home
29,2018-11-15 17:02:00,188BET,1.7,home
30,2018-11-15 13:19:00,188BET,1.73,home
31,2018-11-15 22:02:00,188BET,2.38,away
32,2018-11-15 19:57:00,188BET,2.35,away
33,2018-11-15 19:11:00,188BET,2.27,away
34,2018-11-15 19:09:00,188BET,2.32,away
35,2018-11-15 18:53:00,188BET,2.38,away
36,2018-11-15 17:02:00,188BET,2.2,away
37,2018-11-15 17:00:00,188BET,2.11,away
38,2018-11-15 16:48:00,188BET,2.13,away
39,2018-11-15 13:19:00,188BET,2.16,away
40,2018-11-16 02:35:00,18bet,1.59,home
41,2018-11-16 02:22:00,18bet,1.58,home
42,2018-11-16 02:11:00,18bet,1.57,home
43,2018-11-16 02:03:00,18bet,1.56,home
44,2018-11-16 01:37:00,18bet,1.55,home
45,2018-11-16 01:26:00,18bet,1.57,home
46,2018-11-16 01:22:00,18bet,1.59,home
47,2018-11-16 01:06:00,18bet,1.61,home
48,2018-11-16 00:52:00,18bet,1.62,home
49,2018-11-16 00:00:00,18bet,1.6,home
50,2018-11-15 23:57:00,18bet,1.59,home
51,2018-11-15 23:51:00,18bet,1.6,home
52,2018-11-15 23:34:00,18bet,1.62,home
53,2018-11-15 22:50:00,18bet,1.63,home
54,2018-11-15 21:53:00,18bet,1.64,home
55,2018-11-15 21:14:00,18bet,1.63,home
56,2018-11-15 20:07:00,18bet,1.64,home
57,2018-11-15 19:49:00,18bet,1.62,home
58,2018-11-15 19:36:00,18bet,1.64,home
59,2018-11-15 19:07:00,18bet,1.65,home
60,2018-11-15 02:17:00,18bet,1.86,home
61,2018-11-16 02:57:00,18bet,2.49,away
62,2018-11-16 02:35:00,18bet,2.5,away
63,2018-11-16 02:22:00,18bet,2.51,away
64,2018-11-16 02:11:00,18bet,2.54,away
65,2018-11-16 02:03:00,18bet,2.56,away
66,2018-11-16 01:39:00,18bet,2.58,away
67,2018-11-16 01:37:00,18bet,2.59,away
68,2018-11-16 01:26:00,18bet,2.54,away
69,2018-11-16 01:22:00,18bet,2.49,away
70,2018-11-16 01:06:00,18bet,2.44,away
71,2018-11-16 00:52:00,18bet,2.42,away
72,2018-11-16 00:00:00,18bet,2.46,away
73,2018-11-15 23:57:00,18bet,2.49,away
74,2018-11-15 23:51:00,18bet,2.47,away
75,2018-11-15 23:34:00,18bet,2.42,away
76,2018-11-15 22:50:00,18bet,2.4,away
77,2018-11-15 21:53:00,18bet,2.38,away
78,2018-11-15 21:14:00,18bet,2.4,away
79,2018-11-15 20:07:00,18bet,2.38,away
80,2018-11-15 20:05:00,18bet,2.42,away
81,2018-11-15 02:17:00,18bet,2.03,away
82,2018-11-16 02:27:00,1xBet,1.62,home
83,2018-11-16 02:23:00,1xBet,1.61,home
84,2018-11-16 02:17:00,1xBet,1.6,home
85,2018-11-16 02:06:00,1xBet,1.59,home
86,2018-11-16 01:44:00,1xBet,1.58,home
87,2018-11-16 01:27:00,1xBet,1.6,home
88,2018-11-16 00:27:00,1xBet,1.63,home
89,2018-11-16 00:23:00,1xBet,1.62,home
90,2018-11-15 23:53:00,1xBet,1.63,home
91,2018-11-15 23:37:00,1xBet,1.65,home
92,2018-11-15 23:33:00,1xBet,1.61,home
93,2018-11-15 23:27:00,1xBet,1.65,home
94,2018-11-15 22:53:00,1xBet,1.61,home
95,2018-11-15 22:37:00,1xBet,1.62,home
96,2018-11-15 21:33:00,1xBet,1.61,home
97,2018-11-15 21:27:00,1xBet,1.62,home
98,2018-11-15 21:23:00,1xBet,1.61,home
99,2018-11-15 21:17:00,1xBet,1.64,home
100,2018-11-15 21:03:00,1xBet,1.62,home
101,2018-11-15 20:59:00,1xBet,1.63,home
102,2018-11-14 10:51:00,1xBet,2.23,home
103,2018-11-16 02:59:00,1xBet,2.48,away
104,2018-11-16 02:53:00,1xBet,2.47,away
105,2018-11-16 02:47:00,1xBet,2.46,away
106,2018-11-16 02:43:00,1xBet,2.47,away
107,2018-11-16 02:37:00,1xBet,2.46,away
108,2018-11-16 02:27:00,1xBet,2.48,away
109,2018-11-16 02:23:00,1xBet,2.5,away
110,2018-11-16 02:17:00,1xBet,2.52,away
111,2018-11-16 02:06:00,1xBet,2.54,away
112,2018-11-16 01:44:00,1xBet,2.57,away
113,2018-11-16 01:27:00,1xBet,2.52,away
114,2018-11-16 01:07:00,1xBet,2.45,away
115,2018-11-16 00:57:00,1xBet,2.44,away
116,2018-11-16 00:53:00,1xBet,2.45,away
117,2018-11-16 00:47:00,1xBet,2.44,away
118,2018-11-16 00:27:00,1xBet,2.45,away
119,2018-11-16 00:23:00,1xBet,2.47,away
120,2018-11-15 23:53:00,1xBet,2.45,away
121,2018-11-15 23:37:00,1xBet,2.41,away
122,2018-11-15 23:33:00,1xBet,2.38,away
123,2018-11-14 10:51:00,1xBet,1.67,away
124,2018-11-16 02:54:00,22Bet,1.57,home
125,2018-11-16 02:49:00,22Bet,1.58,home
126,2018-11-16 02:44:00,22Bet,1.57,home
127,2018-11-16 02:38:00,22Bet,1.58,home
128,2018-11-16 02:29:00,22Bet,1.57,home
129,2018-11-16 02:24:00,22Bet,1.56,home
130,2018-11-16 02:20:00,22Bet,1.55,home
131,2018-11-16 01:44:00,22Bet,1.54,home
132,2018-11-16 01:30:00,22Bet,1.55,home
133,2018-11-16 01:10:00,22Bet,1.58,home
134,2018-11-16 00:59:00,22Bet,1.59,home
135,2018-11-16 00:53:00,22Bet,1.58,home
136,2018-11-16 00:48:00,22Bet,1.59,home
137,2018-11-16 00:28:00,22Bet,1.58,home
138,2018-11-16 00:23:00,22Bet,1.57,home
139,2018-11-15 23:53:00,22Bet,1.58,home
140,2018-11-15 23:40:00,22Bet,1.6,home
141,2018-11-15 23:34:00,22Bet,1.59,home
142,2018-11-15 23:28:00,22Bet,1.6,home
143,2018-11-15 22:54:00,22Bet,1.59,home
144,2018-11-14 10:54:00,22Bet,2.23,home
145,2018-11-16 02:59:00,22Bet,2.41,away
146,2018-11-16 02:54:00,22Bet,2.4,away
147,2018-11-16 02:49:00,22Bet,2.39,away
148,2018-11-16 02:44:00,22Bet,2.4,away
149,2018-11-16 02:38:00,22Bet,2.39,away
150,2018-11-16 02:29:00,22Bet,2.41,away
151,2018-11-16 02:24:00,22Bet,2.43,away
152,2018-11-16 02:20:00,22Bet,2.45,away
153,2018-11-16 02:05:00,22Bet,2.47,away
154,2018-11-16 01:44:00,22Bet,2.5,away
155,2018-11-16 01:30:00,22Bet,2.45,away
156,2018-11-16 01:10:00,22Bet,2.38,away
157,2018-11-16 00:59:00,22Bet,2.37,away
158,2018-11-16 00:53:00,22Bet,2.38,away
159,2018-11-16 00:48:00,22Bet,2.37,away
160,2018-11-16 00:28:00,22Bet,2.38,away
161,2018-11-16 00:23:00,22Bet,2.4,away
162,2018-11-15 23:53:00,22Bet,2.38,away
163,2018-11-15 23:40:00,22Bet,2.34,away
164,2018-11-15 23:34:00,22Bet,2.36,away
165,2018-11-14 10:54:00,22Bet,1.67,away
166,2018-11-16 01:39:00,5Dimes,1.59,home
167,2018-11-15 20:06:00,5Dimes,1.63,home
168,2018-11-15 19:15:00,5Dimes,1.67,home
169,2018-11-15 18:06:00,5Dimes,1.65,home
170,2018-11-15 16:03:00,5Dimes,1.73,home
171,2018-11-15 14:07:00,5Dimes,1.74,home
172,2018-11-15 11:35:00,5Dimes,1.77,home
173,2018-11-15 09:11:00,5Dimes,1.8,home
174,2018-11-15 07:48:00,5Dimes,1.83,home
175,2018-11-15 05:22:00,5Dimes,1.85,home
176,2018-11-16 01:39:00,5Dimes,2.6,away
177,2018-11-15 20:06:00,5Dimes,2.5,away
178,2018-11-15 19:15:00,5Dimes,2.4,away
179,2018-11-15 18:06:00,5Dimes,2.45,away
180,2018-11-15 16:03:00,5Dimes,2.27,away
181,2018-11-15 14:07:00,5Dimes,2.25,away
182,2018-11-15 11:35:00,5Dimes,2.2,away
183,2018-11-15 09:11:00,5Dimes,2.15,away
184,2018-11-15 07:48:00,5Dimes,2.1,away
185,2018-11-15 05:22:00,5Dimes,2.07,away
186,2018-11-16 02:58:00,888sport,1.57,home
187,2018-11-16 02:12:00,888sport,1.53,home
188,2018-11-16 01:12:00,888sport,1.61,home
